File,LOC,CC,MaxCC,NPM,NOC,Imports,Label
pandas/core/computation/pytables.py,688,184,21,49,12,19,1
pandas/core/computation/parsing.py,252,37,17,5,1,8,0
pandas/core/computation/expr.py,866,146,15,53,4,16,1
pandas/core/computation/api.py,2,0,0,0,0,1,0
pandas/core/computation/scope.py,350,46,7,16,2,13,1
pandas/core/computation/check.py,8,0,0,0,0,2,0
pandas/core/computation/engines.py,151,19,3,9,3,9,0
pandas/core/tools/__init__.py,0,0,0,0,0,0,0
pandas/core/tools/datetimes.py,1295,133,27,16,2,38,1
pandas/core/tools/times.py,153,11,7,3,0,8,0
pandas/core/tools/numeric.py,346,48,48,1,0,16,1
pandas/core/tools/timedeltas.py,246,25,13,6,0,17,1
pandas/_testing/asserters.py,1588,215,53,30,0,25,1
pandas/_testing/__init__.py,660,61,19,19,2,28,1
pandas/_testing/compat.py,32,4,2,2,0,5,0
pandas/_testing/_io.py,133,9,7,3,0,13,0
pandas/_testing/contexts.py,158,8,4,5,0,14,0
pandas/_testing/_warnings.py,267,38,11,6,0,8,0
pandas/_testing/_hypothesis.py,89,0,0,0,0,6,0
pandas/plotting/__init__.py,99,0,0,0,0,2,0
pandas/plotting/_misc.py,785,22,2,18,1,12,0
pandas/plotting/_core.py,2479,89,36,21,1,16,1
pandas/plotting/_matplotlib/timeseries.py,423,79,10,15,0,17,0
pandas/plotting/_matplotlib/hist.py,574,86,16,22,2,19,1
pandas/plotting/_matplotlib/__init__.py,93,4,4,1,0,10,0
pandas/plotting/_matplotlib/core.py,2221,517,23,106,9,34,1
pandas/plotting/_matplotlib/boxplot.py,563,88,12,24,2,26,1
pandas/plotting/_matplotlib/style.py,295,38,5,14,0,12,0
pandas/plotting/_matplotlib/tools.py,491,90,19,13,0,17,1
pandas/plotting/_matplotlib/groupby.py,141,10,4,3,0,9,0
pandas/plotting/_matplotlib/misc.py,479,64,14,13,0,20,0
pandas/plotting/_matplotlib/converter.py,1161,231,32,57,10,24,1
pandas/tseries/__init__.py,12,0,0,0,0,2,0
pandas/tseries/frequencies.py,672,136,19,34,2,24,1
pandas/tseries/offsets.py,99,0,0,0,0,2,1
pandas/tseries/holiday.py,681,104,13,27,4,11,1
pandas/tseries/api.py,10,0,0,0,0,3,0
pandas/_libs/__init__.py,27,0,0,0,0,4,0
pandas/_libs/tslibs/__init__.py,89,0,0,0,0,13,1
pandas/_libs/window/__init__.py,0,0,0,0,0,0,0
pandas/api/__init__.py,19,0,0,0,0,1,0
pandas/api/internals.py,61,2,2,1,0,5,0
pandas/api/interchange/__init__.py,8,0,0,0,0,2,0
pandas/api/types/__init__.py,23,0,0,0,0,4,0
pandas/api/executors/__init__.py,7,0,0,0,0,1,0
pandas/api/extensions/__init__.py,33,0,0,0,0,5,0
pandas/api/indexers/__init__.py,17,0,0,0,0,2,0
pandas/api/typing/__init__.py,61,0,0,0,0,11,0
pandas/api/typing/aliases.py,145,0,0,0,0,1,0
pandas/tests/test_expressions.py,475,47,6,26,1,10,1
pandas/tests/test_downstream.py,307,29,3,21,1,13,1
pandas/tests/test_nanops.py,1386,249,24,111,6,9,1
pandas/tests/__init__.py,0,0,0,0,0,0,0
pandas/tests/test_aggregation.py,93,22,6,6,0,3,0
pandas/tests/test_col.py,392,38,3,26,1,12,0
pandas/tests/test_common.py,273,58,5,23,5,14,1
pandas/tests/test_algos.py,2135,242,10,131,11,13,1
pandas/tests/test_multilevel.py,379,36,5,20,2,7,1
pandas/tests/test_errors.py,144,13,2,9,1,7,0
pandas/tests/test_sorting.py,553,67,11,27,3,10,0
pandas/tests/test_take.py,407,68,17,23,2,9,0
pandas/tests/test_optional_dependency.py,100,14,6,5,0,5,0
pandas/tests/test_flags.py,48,19,5,5,1,2,0
pandas/tests/test_register_accessor.py,123,26,5,12,3,7,0
pandas/tests/base/common.py,9,3,3,1,0,2,0
pandas/tests/base/__init__.py,0,0,0,0,0,0,0
pandas/tests/base/test_constructors.py,192,42,10,13,6,10,0
pandas/tests/base/test_transpose.py,56,4,1,4,0,4,0
pandas/tests/base/test_value_counts.py,420,42,11,9,0,8,1
pandas/tests/base/test_conversion.py,603,97,13,26,2,10,1
pandas/tests/base/test_unique.py,128,29,11,6,0,5,1
pandas/tests/base/test_misc.py,189,46,10,9,0,7,1
pandas/tests/base/test_fillna.py,70,10,5,3,0,6,0
pandas/tests/interchange/__init__.py,0,0,0,0,0,0,0
pandas/tests/interchange/test_impl.py,696,90,9,31,0,16,0
pandas/tests/interchange/test_utils.py,89,6,4,2,0,4,0
pandas/tests/interchange/test_spec_conformance.py,187,47,8,12,0,5,0
pandas/tests/tslibs/test_npy_units.py,27,9,4,2,1,3,0
pandas/tests/tslibs/test_timedeltas.py,153,16,3,10,1,6,0
pandas/tests/tslibs/__init__.py,0,0,0,0,0,0,0
pandas/tests/tslibs/test_fields.py,40,5,1,5,0,4,0
